"Package","Version Installed","Vulnerability ID","Severity"
"openssl","1:1.1.1k-14.el8_10","CVE-2023-2650","Medium"
"openssl-libs","1:1.1.1k-14.el8_10","CVE-2023-2650","Medium"
"ncurses-base","6.1-10.20180224.el8","CVE-2020-19188","Low"
"ncurses-libs","6.1-10.20180224.el8","CVE-2020-19188","Low"
"ncurses-base","6.1-10.20180224.el8","CVE-2020-19190","Low"
"ncurses-libs","6.1-10.20180224.el8","CVE-2020-19190","Low"
"ncurses-base","6.1-10.20180224.el8","CVE-2020-19187","Low"
"ncurses-libs","6.1-10.20180224.el8","CVE-2020-19187","Low"
"ncurses-base","6.1-10.20180224.el8","CVE-2020-19185","Low"
"ncurses-base","6.1-10.20180224.el8","CVE-2020-19186","Low"
"ncurses-libs","6.1-10.20180224.el8","CVE-2020-19185","Low"
"ncurses-libs","6.1-10.20180224.el8","CVE-2020-19186","Low"
"curl","7.61.1-34.el8_10.8","CVE-2024-7264","Low"
"libcurl-minimal","7.61.1-34.el8_10.8","CVE-2024-7264","Low"
"shadow-utils","2:4.6-22.el8","CVE-2024-56433","Low"
"sqlite-libs","3.26.0-20.el8_10","CVE-2019-9936","Low"
"ncurses-base","6.1-10.20180224.el8","CVE-2020-19189","Low"
"ncurses-libs","6.1-10.20180224.el8","CVE-2020-19189","Low"
"sqlite-libs","3.26.0-20.el8_10","CVE-2019-9937","Low"
"openssl","1:1.1.1k-14.el8_10","CVE-2024-2511","Low"
"openssl-libs","1:1.1.1k-14.el8_10","CVE-2024-2511","Low"
"openssl","1:1.1.1k-14.el8_10","CVE-2023-0464","Low"
"openssl-libs","1:1.1.1k-14.el8_10","CVE-2023-0464","Low"
"libxml2","2.9.7-21.el8_10.3","CVE-2024-34459","Low"
"libarchive","3.3.3-6.el8_10","CVE-2018-1000880","Low"
"systemd","239-82.el8_10.8","CVE-2018-20839","Medium"
"systemd-libs","239-82.el8_10.8","CVE-2018-20839","Medium"
"systemd-pam","239-82.el8_10.8","CVE-2018-20839","Medium"
"libarchive","3.3.3-6.el8_10","CVE-2018-1000879","Low"
"openssl","1:1.1.1k-14.el8_10","CVE-2023-0466","Medium"
"openssl-libs","1:1.1.1k-14.el8_10","CVE-2023-0466","Medium"
"ncurses-base","6.1-10.20180224.el8","CVE-2018-19217","Medium"
"ncurses-libs","6.1-10.20180224.el8","CVE-2018-19217","Medium"
"openssl","1:1.1.1k-14.el8_10","CVE-2024-41996","Low"
"openssl-libs","1:1.1.1k-14.el8_10","CVE-2024-41996","Low"
"ncurses-base","6.1-10.20180224.el8","CVE-2021-39537","Low"
"ncurses-libs","6.1-10.20180224.el8","CVE-2021-39537","Low"
"openssl","1:1.1.1k-14.el8_10","CVE-2023-0465","Low"
"openssl-libs","1:1.1.1k-14.el8_10","CVE-2023-0465","Low"
"curl","7.61.1-34.el8_10.8","CVE-2024-11053","Low"
"libcurl-minimal","7.61.1-34.el8_10.8","CVE-2024-11053","Low"
"gnutls","3.6.16-8.el8_10.4","CVE-2021-4209","Low"
"sqlite-libs","3.26.0-20.el8_10","CVE-2019-19244","Low"
"libzstd","1.4.4-1.el8","CVE-2022-4899","Medium"
"libgcrypt","1.8.5-7.el8_6","CVE-2024-2236","Medium"
"openssl","1:1.1.1k-14.el8_10","CVE-2024-4741","Low"
"openssl-libs","1:1.1.1k-14.el8_10","CVE-2024-4741","Low"
"ncurses-base","6.1-10.20180224.el8","CVE-2018-19211","Low"
"ncurses-libs","6.1-10.20180224.el8","CVE-2018-19211","Low"
"libgcrypt","1.8.5-7.el8_6","CVE-2019-12904","Medium"
"libgcc","8.5.0-28.el8_10","CVE-2018-20657","Low"
"libstdc++","8.5.0-28.el8_10","CVE-2018-20657","Low"
"libgcc","8.5.0-28.el8_10","CVE-2019-14250","Low"
"libstdc++","8.5.0-28.el8_10","CVE-2019-14250","Low"
"glib2","2.56.4-167.el8_10","CVE-2023-32636","Low"
"libarchive","3.3.3-6.el8_10","CVE-2025-1632","Low"
"openssl","1:1.1.1k-14.el8_10","CVE-2024-0727","Low"
"openssl-libs","1:1.1.1k-14.el8_10","CVE-2024-0727","Low"
"glib2","2.56.4-167.el8_10","CVE-2023-29499","Low"
"libxml2","2.9.7-21.el8_10.3","CVE-2025-27113","Low"
"file-libs","5.33-27.el8_10","CVE-2019-8905","Medium"
"openssl","1:1.1.1k-14.el8_10","CVE-2024-13176","Low"
"openssl-libs","1:1.1.1k-14.el8_10","CVE-2024-13176","Low"
"libtasn1","4.13-5.el8_10","CVE-2018-1000654","Low"
"curl","7.61.1-34.el8_10.8","CVE-2025-9086","Medium"
"libcurl-minimal","7.61.1-34.el8_10.8","CVE-2025-9086","Medium"
"libxml2","2.9.7-21.el8_10.3","CVE-2023-45322","Low"
"file-libs","5.33-27.el8_10","CVE-2019-8906","Low"
"glib2","2.56.4-167.el8_10","CVE-2023-32665","Low"
"pcre2","10.32-3.el8_6","CVE-2022-41409","Low"
"ncurses-base","6.1-10.20180224.el8","CVE-2023-50495","Low"
"ncurses-libs","6.1-10.20180224.el8","CVE-2023-50495","Low"
"sqlite-libs","3.26.0-20.el8_10","CVE-2025-52099","Medium"
"libgcc","8.5.0-28.el8_10","CVE-2022-27943","Low"
"libstdc++","8.5.0-28.el8_10","CVE-2022-27943","Low"
"glib2","2.56.4-167.el8_10","CVE-2025-3360","Low"
"systemd","239-82.el8_10.8","CVE-2025-4598","Medium"
"systemd-libs","239-82.el8_10.8","CVE-2025-4598","Medium"
"systemd-pam","239-82.el8_10.8","CVE-2025-4598","Medium"
"dbus","1:1.12.8-27.el8_10","CVE-2020-35512","Low"
"dbus-common","1:1.12.8-27.el8_10","CVE-2020-35512","Low"
"dbus-daemon","1:1.12.8-27.el8_10","CVE-2020-35512","Low"
"dbus-libs","1:1.12.8-27.el8_10","CVE-2020-35512","Low"
"dbus-tools","1:1.12.8-27.el8_10","CVE-2020-35512","Low"
"curl","7.61.1-34.el8_10.8","CVE-2025-10966","Medium"
"libcurl-minimal","7.61.1-34.el8_10.8","CVE-2025-10966","Medium"
"glib2","2.56.4-167.el8_10","CVE-2023-32611","Low"
"gawk","4.2.1-4.el8","CVE-2023-4156","Low"
"libxml2","2.9.7-21.el8_10.3","CVE-2025-9714","Medium"
"openssl","1:1.1.1k-14.el8_10","CVE-2025-9230","Medium"
"openssl-libs","1:1.1.1k-14.el8_10","CVE-2025-9230","Medium"
"curl","7.61.1-34.el8_10.8","CVE-2023-27534","Low"
"libcurl-minimal","7.61.1-34.el8_10.8","CVE-2023-27534","Low"
"elfutils-debuginfod-client","0.190-2.el8","CVE-2021-33294","Medium"
"elfutils-default-yama-scope","0.190-2.el8","CVE-2021-33294","Medium"
"elfutils-libelf","0.190-2.el8","CVE-2021-33294","Medium"
"elfutils-libs","0.190-2.el8","CVE-2021-33294","Medium"
"systemd","239-82.el8_10.8","CVE-2021-3997","Medium"
"systemd-libs","239-82.el8_10.8","CVE-2021-3997","Medium"
"systemd-pam","239-82.el8_10.8","CVE-2021-3997","Medium"
"libarchive","3.3.3-6.el8_10","CVE-2025-60753","Medium"
"glib2","2.56.4-167.el8_10","CVE-2025-13601","Medium"
"libarchive","3.3.3-6.el8_10","CVE-2025-5915","Low"
"libzstd","1.4.4-1.el8","CVE-2021-24032","Low"
