"Package","Version Installed","Vulnerability ID","Severity"
"curl","8.12.1-2.el10","CVE-2024-7264","Low"
"libcurl","8.12.1-2.el10","CVE-2024-7264","Low"
"gnutls","3.8.10-2.el10","CVE-2024-28834","Medium"
"openssl-fips-provider","1:3.5.1-4.el10_1","CVE-2024-5535","Low"
"openssl-libs","1:3.5.1-4.el10_1","CVE-2024-5535","Low"
"gnutls","3.8.10-2.el10","CVE-2024-12243","Medium"
"curl","8.12.1-2.el10","CVE-2024-6197","Medium"
"libcurl","8.12.1-2.el10","CVE-2024-6197","Medium"
"libxml2","2.12.5-9.el10_0","CVE-2024-34459","Low"
"openssl-fips-provider","1:3.5.1-4.el10_1","CVE-2024-41996","Low"
"openssl-libs","1:3.5.1-4.el10_1","CVE-2024-41996","Low"
"libtasn1","4.20.0-1.el10","CVE-2024-12133","Medium"
"curl","8.12.1-2.el10","CVE-2024-11053","Low"
"libcurl","8.12.1-2.el10","CVE-2024-11053","Low"
"openssl-fips-provider","1:3.5.1-4.el10_1","CVE-2024-4741","Low"
"openssl-libs","1:3.5.1-4.el10_1","CVE-2024-4741","Low"
"libssh","0.11.1-4.el10_0","CVE-2025-5318","Medium"
"libssh-config","0.11.1-4.el10_0","CVE-2025-5318","Medium"
"libarchive","3.7.7-4.el10_0","CVE-2025-1632","Low"
"libxml2","2.12.5-9.el10_0","CVE-2025-27113","Low"
"sqlite-libs","3.46.1-5.el10_1","CVE-2025-7458","Medium"
"openssl-fips-provider","1:3.5.1-4.el10_1","CVE-2024-13176","Low"
"openssl-libs","1:3.5.1-4.el10_1","CVE-2024-13176","Low"
"curl","8.12.1-2.el10","CVE-2025-9086","Medium"
"libcurl","8.12.1-2.el10","CVE-2025-9086","Medium"
"openssl-fips-provider","1:3.5.1-4.el10_1","CVE-2024-4603","Low"
"openssl-libs","1:3.5.1-4.el10_1","CVE-2024-4603","Low"
"glib2","2.80.4-10.el10","CVE-2025-7039","Low"
"libxml2","2.12.5-9.el10_0","CVE-2024-56171","High"
"curl","8.12.1-2.el10","CVE-2025-10148","Low"
"libcurl","8.12.1-2.el10","CVE-2025-10148","Low"
"sqlite-libs","3.46.1-5.el10_1","CVE-2025-52099","Medium"
"libssh","0.11.1-4.el10_0","CVE-2025-8277","Low"
"libssh-config","0.11.1-4.el10_0","CVE-2025-8277","Low"
"glib2","2.80.4-10.el10","CVE-2025-3360","Low"
"systemd-libs","257-13.el10.rocky.0.1","CVE-2025-4598","Medium"
"libssh","0.11.1-4.el10_0","CVE-2025-5987","Medium"
"libssh-config","0.11.1-4.el10_0","CVE-2025-5987","Medium"
"sqlite-libs","3.46.1-5.el10_1","CVE-2025-29087","Medium"
"rpm-sequoia","1.9.0.3-1.el10_1","CVE-2024-12224","Medium"
"rpm-sequoia","1.9.0.3-1.el10_1","CVE-2023-53160","Low"
"rpm-sequoia","1.9.0.3-1.el10_1","CVE-2023-53161","Low"
"curl","8.12.1-2.el10","CVE-2025-10966","Medium"
"libcurl","8.12.1-2.el10","CVE-2025-10966","Medium"
"glib2","2.80.4-10.el10","CVE-2025-6052","Low"
"rpm-sequoia","1.9.0.3-1.el10_1","CVE-2024-58261","Low"
"libssh","0.11.1-4.el10_0","CVE-2025-8114","Medium"
"libssh-config","0.11.1-4.el10_0","CVE-2025-8114","Medium"
"libxml2","2.12.5-9.el10_0","CVE-2025-9714","Medium"
"libssh","0.11.1-4.el10_0","CVE-2025-5351","Medium"
"libssh-config","0.11.1-4.el10_0","CVE-2025-5351","Medium"
"libarchive","3.7.7-4.el10_0","CVE-2025-60753","Medium"
"glib2","2.80.4-10.el10","CVE-2025-13601","Medium"
"libarchive","3.7.7-4.el10_0","CVE-2025-5915","Low"
"libarchive","3.7.7-4.el10_0","CVE-2025-5916","Low"
"openssl-fips-provider","1:3.5.1-4.el10_1","CVE-2025-9232","Low"
"openssl-libs","1:3.5.1-4.el10_1","CVE-2025-9232","Low"
"coreutils-single","9.5-6.el10","CVE-2025-5278","Medium"
"gnutls","3.8.10-2.el10","CVE-2024-28835","Medium"
"libarchive","3.7.7-4.el10_0","CVE-2025-5918","Low"
"libarchive","3.7.7-4.el10_0","CVE-2025-5917","Low"
"libxml2","2.12.5-9.el10_0","CVE-2025-6170","Low"
"libssh","0.11.1-4.el10_0","CVE-2025-4878","Low"
"libssh-config","0.11.1-4.el10_0","CVE-2025-4878","Low"
